Sorted by Name
Small Munsterlander,20
Smooth Fox Terrier,7
Soft Coated Wheaten Terrier,25
Spanish Mastiff,110
Spanish Water Dog,22
Spinone Italiano,35
Stabyhoun,25
Staffordshire Bull Terrier,17
Standard Schnauzer,22
Sussex Spaniel,27
Swedish Lapphund,20
Swedish Vallhund,16
Taiwan Dog,15
Teddy Roosevelt Terrier,11
Thai Ridgeback,25
Tibetan Mastiff,90
Tibetan Spaniel,7
Tibetan Terrier,8
Tornjak,70
Tosa,80
Toy Fox Terrier,3
Transylvanian Hound,30
Treeing Tennessee Brindle,30
Treeing Walker Coonhound,30
Vizsla,30
Volpino Italiano,6
Weimaraner,30
Welsh Springer Spaniel,25
Welsh Terrier,9
West Highland White Terrier,7
Wetterhoun,30
Whippet,15
Wire Fox Terrier,7
Wirehaired Pointing Griffon,27
Wirehaired Vizsla,30
Working Kelpie,20
Xoloitzcuintli,15
Yakutian Laika,30
Yorkshire Terrier,3

Sorted by Weight
Breed,Maxweight(kg)
Saint Bernard,110kg
Spanish Mastiff,110kg
Pyrenean Mastiff,100kg
Caucasian Shepherd Dog,90kg
Central Asian Shepherd Dog,90kg
Irish Wolfhound,90kg
Mastiff,90kg
Tibetan Mastiff,90kg
Boerboel,80kg
Leonberger,80kg
Tosa,80kg
Anatolian Shepherd Dog,70kg
Bernese Mountain Dog,70kg
Dogue de Bordeaux,70kg
Giant Schnauzer,70kg
Greater Swiss Mountain Dog,70kg
Komondor,70kg
Neapolitan Mastiff,70kg
Newfoundland,70kg
Tornjak,70kg
Romanian Carpathian Shepherd,65kg
Akita,60kg
Black Russian Terrier,60kg
Estrela Mountain Dog,60kg
Rafeiro do Alentejo,60kg
Rottweiler,60kg
Bullmastiff,59kg
Bloodhound,54kg
Great Dane,54kg
American Bulldog,50kg
Cane Corso,50kg
Japanese Akitainu,50kg
Kuvasz,50kg
Old English Sheepdog,50kg
Perro de Presa Canario,50kg
Romanian Mioritic Shepherd Dog,50kg
Scottish Deerhound,50kg
Appenzeller Sennenhund,45kg
Bergamasco Sheepdog,45kg
Borzoi,45kg
Dogo Argentino,45kg
Great Pyrenees,45kg
Hovawart,45kg
Otterhound,45kg
Plott,41kg
Rhodesian Ridgeback,41kg
American Leopard Hound,40kg
American Staffordshire Terrier,40kg
Bouvier des Flandres,40kg
Briard,40kg
Doberman Pinscher,40kg
Dutch Shepherd,40kg
German Shepherd Dog,40kg
Greyhound,40kg
Slovensky Cuvac,40kg
Alaskan Malamute,39kg
Chesapeake Bay Retriever,36kg
Slovakian Wirehaired Pointer,35kg
Spinone Italiano,35kg
American Foxhound,34kg
Curly-Coated Retriever,34kg
Flat-Coated Retriever,34kg
Golden Retriever,34kg
Boxer,32kg
Catahoula Leopard Dog,32kg
Chow Chow,32kg
Clumber Spaniel,32kg
Dalmatian,32kg
German Longhaired Pointer,32kg
German Wirehaired Pointer,32kg
Gordon Setter,32kg
Irish Red and White Setter,32kg
Irish Setter,32kg
Irish Water Spaniel,32kg
Labrador Retriever,32kg
American English Coonhound,30kg
Australian Shepherd,30kg
Azawakh,30kg
Barbet,30kg
Bavarian Mountain Scent Houn,30kg
Beauceron,30kg
Belgian Laekenois,30kg
Belgian Malinois,30kg
Belgian Sheepdog,30kg
Black and Tan Coonhound,30kg
Bluetick Coonhound,30kg
Bohemian Shepherd,30kg
Border Collie,30kg
Bracco Italiano,30kg
Braque du Bourbonnais,30kg
Braque Francais Pyrenean,30kg
Broholmer,30kg
Collie,30kg
Czechoslovakian Vlcak,30kg
English Setter,30kg
Entlebucher Mountain Dog,30kg
Eurasier,30kg
French Spaniel,30kg
German Shorthaired Pointer,30kg
Grand Basset Griffon Vendéen,30kg
Hokkaido,30kg
Karelian Bear Dog,30kg
Kishu Ken,30kg
Lhasa Apso,30kg
Mountain Cur,30kg
Pointer,30kg
Poodle (Standard),30kg
Portuguese Pointer,30kg
Portuguese Sheepdog,30kg
Portuguese Water Dog,30kg
Pudelpointer,30kg
Redbone Coonhound,30kg
Saluki,30kg
Samoyed,30kg
Segugio Italiano,30kg
Sloughi,30kg
Slovensky Kopov,30kg
Transylvanian Hound,30kg
Treeing Tennessee Brindle,30kg
Treeing Walker Coonhound,30kg
Vizsla,30kg
Weimaraner,30kg
Wetterhoun,30kg
Wirehaired Vizsla,30kg
Yakutian Laika,30kg
Basset Hound,29kg
Chinook,29kg
English Foxhound,29kg
Afghan Hound,27kg
Siberian Husky,27kg
Sussex Spaniel,27kg
Wirehaired Pointing Griffon,27kg
Basset Fauve de Bretagne,25kg
Bearded Collie,25kg
Belgian Tervuren,25kg
Berger Picard,25kg
Brittany,25kg
Bulldog,25kg
Chinese Shar-Pei,25kg
Hamiltonstovare,25kg
Hanoverian Scenthound,25kg
Harrier,25kg
Ibizan Hound,25kg
Norwegian Elkhound,25kg
Pharaoh Hound,25kg
Soft Coated Wheaten Terrier,25kg
Stabyhoun,25kg
Thai Ridgeback,25kg
Welsh Springer Spaniel,25kg
Airedale Terrier,23kg
Bull Terrier,22kg
Croatian Sheepdog,22kg
Drentsche Patrijshond,22kg
Shikoku,22kg
Spanish Water Dog,22kg
Standard Schnauzer,22kg
American Eskimo Dog,20kg
American Water Spaniel,20kg
Australian Cattle Dog,20kg
Australian Kelpie,20kg
Australian Stumpy Tail Cattle Dog,20kg
Barbado da Terceira,20kg
Canaan Dog,20kg
Deutscher Wachtelhund,20kg
Finnish Lapphund,20kg
Icelandic Sheepdog,20kg
Kai Ken,20kg
Lagotto Romagnolo,20kg
Lapponian Herder,20kg
Polish Lowland Sheepdog,20kg
Schapendoes,20kg
Small Munsterlander,20kg
Swedish Lapphund,20kg
Working Kelpie,20kg
Field Spaniel,18kg
Keeshond,18kg
English Springer Spaniel,17kg
Kerry Blue Terrier,17kg
Staffordshire Bull Terrier,17kg
Boykin Spaniel,16kg
English Cocker Spaniel,16kg
Finnish Spitz,16kg
